"county","year","acres_burned","n_fires"
"Glenn",2016,1.59758,1
"San Luis Obispo",2016,48684.4641,13
"Sierra",2017,139.467,1
"Sacramento",2017,1506.027,2
"Santa Barbara",2017,330097.6588,16
"Calaveras",2017,368.6874,6
"Ventura",2017,288068.14845,19
"Los Angeles",2017,31294.6383648,47
"Sonoma",2017,112485.55162,13
"Kings",2017,48929.5677,3
"San Diego",2017,7832.3827,18
"Placer",2017,73.404369,7
"San Francisco",2017,0,0
"Marin",2017,69.39009865,6
"Mariposa",2017,112043.8899042,34
"Lassen",2017,110530.1974,20
"Napa",2017,144320.1831,8
"Shasta",2017,1267.585,6
"Monterey",2017,52602.58482,12
"Trinity",2017,40227.0603,10
"Mendocino",2017,37413.415,2
"Inyo",2017,102.35306,3
"Mono",2017,9333.8717,3
"Tuolumne",2017,8106.2557229,22
"Solano",2017,51870.1053,6
"San Bernardino",2017,7727.41163,23
"Contra Costa",2017,0,0
"Alpine",2017,13413.3231,3
"El Dorado",2017,2078.2193857,10
"Yolo",2017,2366.23,1
"Yuba",2017,17145.9357,8
"San Benito",2017,136.2952,4
"Humboldt",2017,160.437,6
"Riverside",2017,16466.6297,20
"Kern",2017,9427.6718168,42
"Colusa",2017,80.7558,3
"Del Norte",2017,91379.0897,3
"Modoc",2017,93330.1039,31
"Fresno",2017,69448.60918,24
"Madera",2017,23531.9729,8
"Santa Clara",2017,313.914,3
"Tehama",2017,13758.6377,4
"San Joaquin",2017,194.6624,2
"Alameda",2017,0,0
"Nevada",2017,1416.8905,10
"Butte",2017,34956.02807,9
"Merced",2017,1730.47,1
"Tulare",2017,80156.6977,16
"Stanislaus",2017,159.7706,4
"Orange",2017,12624.76099228,29
"Imperial",2017,66.9986,1
"Sutter",2017,0,0
"Amador",2017,33.476271,3
"Lake",2017,2545.68818,9
"Plumas",2017,6355.83204,11
"San Mateo",2017,36.3377,1
"Siskiyou",2017,228416.8425425,57
"Santa Cruz",2017,319.76961,2
"Glenn",2017,0,0
"San Luis Obispo",2017,36029.9214,30
"Sierra",2018,0,0
"Sacramento",2018,399.6909,4
"Santa Barbara",2018,1990.992,9
"Calaveras",2018,12295.98925,7
"Ventura",2018,94449.72630526,62
"Los Angeles",2018,95053.0419718,27
"Sonoma",2018,13.895903,2
"Kings",2018,73.3264,2
"San Diego",2018,1506.9213499,16
"Placer",2018,1947.25836,8
"San Francisco",2018,0,0
"Marin",2018,1.35455,1
"Mariposa",2018,101953.1606,6
"Lassen",2018,20315.74189,13
"Napa",2018,92581.12391,8
"Shasta",2018,343557.12971,15
"Monterey",2018,3859.8578,8
"Trinity",2018,295282.943,5
"Mendocino",2018,460061.684,3
"Inyo",2018,6271.97,3
"Mono",2018,7729.0035,4
"Tuolumne",2018,134146.52434,10
"Solano",2018,2158.43,1
"San Bernardino",2018,1760.6184,8
"Contra Costa",2018,247.05,1
"Alpine",2018,36672.84321,5
"El Dorado",2018,594.4578,5
"Yolo",2018,90665.4152,3
"Yuba",2018,69.7054,3
"San Benito",2018,2715.2127,9
"Humboldt",2018,4038.07724,6
"Riverside",2018,38612.5125,10
"Kern",2018,4867.580055,23
"Colusa",2018,425398.9,2
"Del Norte",2018,38122.73789,2
"Modoc",2018,42158.8583,9
"Fresno",2018,2258.12242,16
"Madera",2018,14299.7961,4
"Santa Clara",2018,441.748,2
"Tehama",2018,11618.5579,11
"San Joaquin",2018,11823.2354,2
"Alameda",2018,702.3484,2
"Nevada",2018,8.58183,1
"Butte",2018,155142.3198,6
"Merced",2018,6305.05504,3
"Tulare",2018,8439.74506,10
"Stanislaus",2018,11905.5611,4
"Orange",2018,23369.99872273,21
"Imperial",2018,0,0
"Sutter",2018,1355.5859,3
"Amador",2018,824.978,1
"Lake",2018,474659.97506,9
"Plumas",2018,153822.0381,5
"San Mateo",2018,0,0
"Siskiyou",2018,76742.136143,18
"Santa Cruz",2018,24.66638,2
"Glenn",2018,412651.0924,4
"San Luis Obispo",2018,1527.552645,19
"Sierra",2019,105.57721,3
"Sacramento",2019,84.3234,1
"Santa Barbara",2019,3540.9619,6
"Calaveras",2019,68.10454,2
"Ventura",2019,12525.0625,8
"Los Angeles",2019,14290.87038,15
"Sonoma",2019,77762.1,1
"Kings",2019,330.7563,4
"San Diego",2019,1697.750222,22
"Placer",2019,284.0961,5
"San Francisco",2019,0,0
"Marin",2019,71.6734,2
"Mariposa",2019,6928.5436,4
"Lassen",2019,7586.0755,13
"Napa",2019,574.8594,2
"Shasta",2019,943.8471,10
"Monterey",2019,3901.1202,15
"Trinity",2019,2387.13238,11
"Mendocino",2019,1009.975,3
"Inyo",2019,10267.6,1
"Mono",2019,6631.68776,3
"Tuolumne",2019,854.36034,5
"Solano",2019,544.86145,3
"San Bernardino",2019,1278.4028,5
"Contra Costa",2019,740.473,3
"Alpine",2019,97.65288,3
"El Dorado",2019,3617.54717,7
"Yolo",2019,2422.02,1
"Yuba",2019,242.367776,7
"San Benito",2019,220.4943,3
"Humboldt",2019,0,0
"Riverside",2019,5741.4503,11
"Kern",2019,4207.23036,14
"Colusa",2019,2423.93902,2
"Del Norte",2019,0,0
"Modoc",2019,20233.3946,10
"Fresno",2019,816.27257,16
"Madera",2019,113.4141,2
"Santa Clara",2019,207.746,1
"Tehama",2019,17295.71,4
"San Joaquin",2019,499.3486,5
"Alameda",2019,0.548332,1
"Nevada",2019,0,0
"Butte",2019,567.5824,2
"Merced",2019,158.855,1
"Tulare",2019,4084.9532,8
"Stanislaus",2019,2932.78099,9
"Orange",2019,51.75338,6
"Imperial",2019,30.2864,1
"Sutter",2019,647.994,1
"Amador",2019,10.2391,1
"Lake",2019,77928.5242,5
"Plumas",2019,54855.04909,7
"San Mateo",2019,69.972,2
"Siskiyou",2019,2591.59983,17
"Santa Cruz",2019,9.36738,1
"Glenn",2019,4.37654,1
"San Luis Obispo",2019,5617.021596,30
"Sierra",2020,46862.3718,3
"Sacramento",2020,6506.119,4
"Santa Barbara",2020,2466.57273,16
"Calaveras",2020,2991.73,2
"Ventura",2020,3387.69955,9
"Los Angeles",2020,157634.58316,40
"Sonoma",2020,125331.14032,21
"Kings",2020,63.3635,2
"San Diego",2020,20715.8667,8
"Placer",2020,1354.0345,13
"San Francisco",2020,0,0
"Marin",2020,4925.74631,4
"Mariposa",2020,7083.84756,5
"Lassen",2020,217287.4918,22
"Napa",2020,372949.58598,11
"Shasta",2020,1090037.3314,17
"Monterey",2020,213367.32045,21
"Trinity",2020,1177309.4989,7
"Mendocino",2020,1035270.6115,7
"Inyo",2020,9150.4,1
"Mono",2020,51170.1985,6
"Tuolumne",2020,12093.3874,6
"Solano",2020,307287.192,7
"San Bernardino",2020,115767.45933,25
"Contra Costa",2020,396824,1
"Alpine",2020,26751.8,1
"El Dorado",2020,1724.3983,4
"Yolo",2020,305496.30512,8
"Yuba",2020,2412.77615,10
"San Benito",2020,2433.72555,5
"Humboldt",2020,144188.5892,6
"Riverside",2020,79211.69548,17
"Kern",2020,12213.58725,34
"Colusa",2020,1338779.30627,6
"Del Norte",2020,157430,1
"Modoc",2020,168457.8179,5
"Fresno",2020,415006.8663,16
"Madera",2020,380435.0567,4
"Santa Clara",2020,402679.711,3
"Tehama",2020,1089903.8296,9
"San Joaquin",2020,396912.6926,2
"Alameda",2020,396824,1
"Nevada",2020,705.546,1
"Butte",2020,321773.9013,16
"Merced",2020,399798.4716,4
"Tulare",2020,182648.9057,8
"Stanislaus",2020,396824,1
"Orange",2020,32903.82449,11
"Imperial",2020,132.5826,3
"Sutter",2020,0,0
"Amador",2020,68.3997,2
"Lake",2020,1338241.07206,16
"Plumas",2020,395463.1749,9
"San Mateo",2020,86560.28967,2
"Siskiyou",2020,394209.5678,22
"Santa Cruz",2020,86573.7083,2
"Glenn",2020,1034079.29,5
"San Luis Obispo",2020,9940.76079,58
"Sierra",2021,0,0
"Sacramento",2021,0,0
"Santa Barbara",2021,17131.21745,6
"Calaveras",2021,804.317,2
"Ventura",2021,727.8227,16
"Los Angeles",2021,4561.76313,31
"Sonoma",2021,72.2119,14
"Kings",2021,92.3546,1
"San Diego",2021,9441.716394,22
"Placer",2021,3147.6975,5
"San Francisco",2021,0,0
"Marin",2021,0,0
"Mariposa",2021,10887.77156,7
"Lassen",2021,1068631.79891,8
"Napa",2021,215.33924,6
"Shasta",2021,1108127.23231,14
"Monterey",2021,4211.38511,6
"Trinity",2021,545022.8591,6
"Mendocino",2021,556.353,5
"Inyo",2021,1652.57178,9
"Mono",2021,70061.0927,3
"Tuolumne",2021,4054.95936,8
"Solano",2021,92.40483,4
"San Bernardino",2021,4833.94224,18
"Contra Costa",2021,268.237,3
"Alpine",2021,290034.6587,5
"El Dorado",2021,221966.5734,7
"Yolo",2021,41.6185,3
"Yuba",2021,1731.73943,15
"San Benito",2021,320.35487,3
"Humboldt",2021,2456.6661,3
"Riverside",2021,3044.9637,10
"Kern",2021,33613.32648,38
"Colusa",2021,5.55894,1
"Del Norte",2021,0,0
"Modoc",2021,2345.6472,9
"Fresno",2021,705.3927,14
"Madera",2021,9677.5679,2
"Santa Clara",2021,201.7656,3
"Tehama",2021,1086350.2656,9
"San Joaquin",2021,57.3795,1
"Alameda",2021,0,0
"Nevada",2021,2680.5259,3
"Butte",2021,964033.9188,3
"Merced",2021,0,0
"Tulare",2021,196997.7577,9
"Stanislaus",2021,589.60152,4
"Orange",2021,54.13094,7
"Imperial",2021,486.1134,4
"Sutter",2021,157.3445,2
"Amador",2021,221916.2359,4
"Lake",2021,99.79624,9
"Plumas",2021,1069082.3602,6
"San Mateo",2021,169.869,1
"Siskiyou",2021,478426.75646,20
"Santa Cruz",2021,228.56338,6
"Glenn",2021,219.728,1
"San Luis Obispo",2021,222.08385,16
"Sierra",2022,0,0
"Sacramento",2022,123.1255,3
"Santa Barbara",2022,123.769,1
"Calaveras",2022,4466.22,1
"Ventura",2022,85.19032,5
"Los Angeles",2022,5801.6446,20
"Sonoma",2022,140.3803,3
"Kings",2022,0,0
"San Diego",2022,5846.305479,27
"Placer",2022,77248.85512,13
"San Francisco",2022,0,0
"Marin",2022,106.161,1
"Mariposa",2022,32696.8657,5
"Lassen",2022,125.91997,6
"Napa",2022,376.689204,2
"Shasta",2022,598.4449,5
"Monterey",2022,957.92813,5
"Trinity",2022,30177.177,3
"Mendocino",2022,233.4987,5
"Inyo",2022,4201.3695,3
"Mono",2022,0,0
"Tuolumne",2022,2951.4515,4
"Solano",2022,0,0
"San Bernardino",2022,2637.3056,9
"Contra Costa",2022,461.6944,9
"Alpine",2022,0,0
"El Dorado",2022,76813.2876,3
"Yolo",2022,0,0
"Yuba",2022,283.1987,7
"San Benito",2022,251.9574,4
"Humboldt",2022,41702.591,7
"Riverside",2022,34519.52032,5
"Kern",2022,4534.61741,41
"Colusa",2022,0,0
"Del Norte",2022,26.3181,1
"Modoc",2022,6089.68815,6
"Fresno",2022,510.869,9
"Madera",2022,14136.971,3
"Santa Clara",2022,117.5044,2
"Tehama",2022,1128.1498,5
"San Joaquin",2022,274.184,1
"Alameda",2022,1095.6485,9
"Nevada",2022,1098.04106,8
"Butte",2022,819.37611,18
"Merced",2022,396.8195,3
"Tulare",2022,1872.53698,5
"Stanislaus",2022,554.4781,3
"Orange",2022,909.25,3
"Imperial",2022,25.0047,1
"Sutter",2022,0,0
"Amador",2022,4482.969,2
"Lake",2022,0,0
"Plumas",2022,0,0
"San Mateo",2022,64.0569,3
"Siskiyou",2022,86271.50333,21
"Santa Cruz",2022,0,0
"Glenn",2022,330.5719,2
"San Luis Obispo",2022,680.8419162,16
"Sierra",2023,52.9341,1
"Sacramento",2023,28.6379,1
"Santa Barbara",2023,6080.9392,4
"Calaveras",2023,140.1758,2
"Ventura",2023,2730.06774,3
"Los Angeles",2023,526.3605,4
"Sonoma",2023,0,0
"Kings",2023,0,0
"San Diego",2023,907.4691,12
"Placer",2023,46.16227,3
"San Francisco",2023,0,0
"Marin",2023,0,0
"Mariposa",2023,841,1
"Lassen",2023,27.6403,1
"Napa",2023,97.1195,1
"Shasta",2023,225.942,5
"Monterey",2023,492.173,5
"Trinity",2023,4303.8297,5
"Mendocino",2023,0.6,2
"Inyo",2023,1231.3815,3
"Mono",2023,322.961,1
"Tuolumne",2023,10662.9,3
